id,transaction_type,date_run
QDMHg_6S4ZsKpHbenczeHg,pickup,2022-08-16 00:00:00
kibB0UPXfZaMauCBsON3nw,delivery,2022-08-16 00:00:00
kibB0UPXfZaMauCBsON3nw,pickup,2022-08-16 00:00:00
LAcUhY1_9QnXIMZ9ws6TPg,delivery,2022-08-16 00:00:00
LAcUhY1_9QnXIMZ9ws6TPg,pickup,2022-08-16 00:00:00
1rkgyfwzXG7qSdVZdfRt7g,delivery,2022-08-16 00:00:00
1rkgyfwzXG7qSdVZdfRt7g,pickup,2022-08-16 00:00:00
M4SuI7Ww6lH4q4iWHn4H5A,delivery,2022-08-16 00:00:00
a4K6WMS8JW31VBteDM5TIA,delivery,2022-08-16 00:00:00
vs5dhED5Yf8kqPp06OD2QQ,delivery,2022-08-16 00:00:00
RzOn1WEsHZ-vY5ZxyfOAkw,delivery,2022-08-16 00:00:00
vRNS0XYi42TWEv1bxAA5uw,delivery,2022-08-16 00:00:00
-pa-22jT0ssGBiBaGQWiqA,delivery,2022-08-16 00:00:00
E0jzAxh2u7ifsOeZ4qnp6A,delivery,2022-08-16 00:00:00
E0jzAxh2u7ifsOeZ4qnp6A,pickup,2022-08-16 00:00:00
nwNof9-Z2KJyGl1yRf-5_A,delivery,2022-08-16 00:00:00
LPixpaSpTlVhLdijpbRuoQ,delivery,2022-08-16 00:00:00
egty45DOptyWQDJosNHFrQ,pickup,2022-08-16 00:00:00
egty45DOptyWQDJosNHFrQ,delivery,2022-08-16 00:00:00
Typ4u1aCYFBXaki_ylNTuQ,pickup,2022-08-16 00:00:00
Typ4u1aCYFBXaki_ylNTuQ,delivery,2022-08-16 00:00:00
D1PaFW10wrTUEJMUedu-rQ,delivery,2022-08-16 00:00:00
cDoFLe0IU1uc7CCPpje0oA,delivery,2022-08-16 00:00:00
DzLycxXa20wdlYeTcyc5-A,delivery,2022-08-16 00:00:00
qLzed7jKJcJgfbhqaofLzQ,pickup,2022-08-16 00:00:00
qLzed7jKJcJgfbhqaofLzQ,delivery,2022-08-16 00:00:00
A_Qxu5oMm2FxS8jtkAnXWw,delivery,2022-08-16 00:00:00
59pvPYSI-GbC6aQEUS90hg,delivery,2022-08-16 00:00:00
2xsKJEwYzjCWS7MK2qyYUg,delivery,2022-08-16 00:00:00
AGJM0sc7l4oA_kknOiLjNw,pickup,2022-08-16 00:00:00
AGJM0sc7l4oA_kknOiLjNw,delivery,2022-08-16 00:00:00
7za-bNmBBMtXKkY1-RRuIQ,delivery,2022-08-16 00:00:00
dkZiHbwggWsB3QSQhy2New,pickup,2022-08-16 00:00:00
dkZiHbwggWsB3QSQhy2New,delivery,2022-08-16 00:00:00
NCGgR0h_oDzJ1-hdoyuoog,delivery,2022-08-16 00:00:00
FW0AJpVxlvOwYE-87v3Ocg,pickup,2022-08-16 00:00:00
FW0AJpVxlvOwYE-87v3Ocg,delivery,2022-08-16 00:00:00
yEh-nLj03uJuJNyK37a30w,delivery,2022-08-16 00:00:00
YSQiqH7RIWORk_Qp-A4SOg,pickup,2022-08-16 00:00:00
YSQiqH7RIWORk_Qp-A4SOg,delivery,2022-08-16 00:00:00
BvOLqjt68GEJREOYQ_vdHw,delivery,2022-08-16 00:00:00
44OpjjkNgtgbYR92p3xNBQ,pickup,2022-08-16 00:00:00
44OpjjkNgtgbYR92p3xNBQ,delivery,2022-08-16 00:00:00
44OpjjkNgtgbYR92p3xNBQ,restaurant_reservation,2022-08-16 00:00:00
PkI2z4M1SgPkgVOMuHtuCg,pickup,2022-08-16 00:00:00
PkI2z4M1SgPkgVOMuHtuCg,delivery,2022-08-16 00:00:00
IFzC8hzQpKNfVuJh84p1sw,delivery,2022-08-16 00:00:00
Xgeb-8Fr6FvDMOTuw7r0NQ,delivery,2022-08-16 00:00:00
5G-auewhlvedttS04J0Pcw,delivery,2022-08-16 00:00:00
CDbu6A1fVHm8sZbDbD-x7A,delivery,2022-08-16 00:00:00
Dr9CxgdePozHGwU4beaYGQ,delivery,2022-08-16 00:00:00
zIczxp6kS-2kyV937xBnAA,pickup,2022-08-16 00:00:00
zIczxp6kS-2kyV937xBnAA,delivery,2022-08-16 00:00:00
xFNXW_Pu5IeVnjn9W7JF7A,delivery,2022-08-16 00:00:00
b9FAOeVB0gUqzwr-rC3DkA,delivery,2022-08-16 00:00:00
CQA0QJfpx2zH91jeBGIj0w,delivery,2022-08-16 00:00:00
E4PzUSFuduzS6tLmGgosoQ,delivery,2022-08-16 00:00:00
E4PzUSFuduzS6tLmGgosoQ,pickup,2022-08-16 00:00:00
bQeBn2adqJC7EcgtcJ395w,delivery,2022-08-16 00:00:00
bQeBn2adqJC7EcgtcJ395w,pickup,2022-08-16 00:00:00
nwrKWcWG1_g8nyUaaUwqlA,delivery,2022-08-16 00:00:00
pzjQKP3PEkclhSD-mFn7jA,delivery,2022-08-16 00:00:00
AROGz7BvHL9eGYE3-s45cw,delivery,2022-08-16 00:00:00
EyWpBPPXyICK91z-xAAT1g,delivery,2022-08-16 00:00:00
EyWpBPPXyICK91z-xAAT1g,pickup,2022-08-16 00:00:00
BLVe8EsrRKphA8Ivxuavmw,delivery,2022-08-16 00:00:00
tNQUY-hc561X0LVgABqRXA,delivery,2022-08-16 00:00:00
e8UiD4SOyfyv5PIB5i1EvQ,delivery,2022-08-16 00:00:00
xTTteSIJ-1-GkzvlU21vIQ,delivery,2022-08-16 00:00:00
xTTteSIJ-1-GkzvlU21vIQ,pickup,2022-08-16 00:00:00
nQPPzUaPIMeJdohOrrjmOQ,delivery,2022-08-16 00:00:00
bS4nymdYrOozf9LjdPgO5w,delivery,2022-08-16 00:00:00
